epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,878.702,0.84598,2.09578,1.03439,0.83902,0.63824,0.66167,0.56355,0.98979,2.01214,1.10987,0.000151391,0.000151391,0.000151391
45,898.096,0.92637,2.03259,1.05918,0.83902,0.63824,0.66167,0.56355,0.98979,2.01214,1.10987,0.000152202,0.000152202,0.000152202
46,918.386,0.88845,1.88697,1.07517,0.83495,0.64213,0.67097,0.56479,1.03207,1.98476,1.13198,0.000152892,0.000152892,0.000152892
47,937.68,0.87619,1.85603,1.02808,0.83495,0.64213,0.67097,0.56479,1.03207,1.98476,1.13198,0.000153463,0.000153463,0.000153463
48,957.999,0.95482,1.97479,1.02212,0.83308,0.62236,0.68282,0.57223,1.02164,1.97187,1.13718,0.000153913,0.000153913,0.000153913
49,977.22,0.92089,1.99966,1.00738,0.83308,0.62236,0.68282,0.57223,1.02164,1.97187,1.13718,0.000154244,0.000154244,0.000154244
50,997.274,0.93948,1.88657,1.05504,0.8365,0.60077,0.69726,0.58343,0.98424,1.96832,1.12518,0.000154455,0.000154455,0.000154455
51,1017.76,0.88358,1.91814,1.03768,0.8365,0.60077,0.69726,0.58343,0.98424,1.96832,1.12518,0.000153015,0.000153015,0.000153015
52,1037.76,0.88898,1.75787,1.05186,0.84784,0.59797,0.7046,0.58965,0.96484,1.93929,1.114,0.000150015,0.000150015,0.000150015
53,1057.99,0.86972,1.71335,0.99134,0.84784,0.59797,0.7046,0.58965,0.96484,1.93929,1.114,0.000147016,0.000147016,0.000147016
54,1077.41,0.86286,1.68064,1.01855,0.85644,0.60325,0.71265,0.59896,0.95079,1.88685,1.11036,0.000144016,0.000144016,0.000144016
55,1097.47,0.91939,1.66576,1.06566,0.85644,0.60325,0.71265,0.59896,0.95079,1.88685,1.11036,0.000141016,0.000141016,0.000141016
56,1116.94,0.8864,1.70596,1.01888,0.87339,0.6374,0.72744,0.60002,0.96027,1.81322,1.11263,0.000138016,0.000138016,0.000138016
57,1137.23,0.87332,1.47616,1.0192,0.87339,0.6374,0.72744,0.60002,0.96027,1.81322,1.11263,0.000135017,0.000135017,0.000135017
58,1156.3,0.8698,1.59553,1.05012,0.89328,0.67377,0.73028,0.60104,1.00597,1.72478,1.12109,0.000132017,0.000132017,0.000132017
59,1175.72,0.89632,1.5655,1.01339,0.89328,0.67377,0.73028,0.60104,1.00597,1.72478,1.12109,0.000129017,0.000129017,0.000129017
60,1196.54,0.90445,1.52592,1.01948,0.89928,0.69324,0.73103,0.59991,1.01941,1.64553,1.11788,0.000126018,0.000126018,0.000126018
61,1215.66,0.88005,1.39199,1.00009,0.89928,0.69324,0.73103,0.59991,1.01941,1.64553,1.11788,0.000123018,0.000123018,0.000123018
62,1235.91,0.8804,1.5197,1.06914,0.90894,0.72611,0.73793,0.6037,1.01064,1.58368,1.11021,0.000120018,0.000120018,0.000120018
63,1255.27,0.91533,1.53135,1.03761,0.90894,0.72611,0.73793,0.6037,1.01064,1.58368,1.11021,0.000117019,0.000117019,0.000117019
64,1275.36,0.90399,1.50345,1.0779,0.90354,0.72923,0.74252,0.60969,0.98531,1.52649,1.09493,0.000114019,0.000114019,0.000114019
65,1294.72,0.90154,1.47749,1.0443,0.90354,0.72923,0.74252,0.60969,0.98531,1.52649,1.09493,0.000111019,0.000111019,0.000111019
66,1314.08,0.89445,1.52397,1.09445,0.89506,0.72526,0.73981,0.61162,0.96827,1.47492,1.08562,0.000108019,0.000108019,0.000108019
67,1334.35,0.9054,1.47307,1.0569,0.89506,0.72526,0.73981,0.61162,0.96827,1.47492,1.08562,0.00010502,0.00010502,0.00010502
68,1353.51,0.90061,1.41965,1.08369,0.8938,0.74073,0.74201,0.61109,0.96433,1.41886,1.08293,0.00010202,0.00010202,0.00010202
69,1373.95,0.87502,1.49207,0.99782,0.8938,0.74073,0.74201,0.61109,0.96433,1.41886,1.08293,9.90204e-05,9.90204e-05,9.90204e-05
70,1393.57,0.91085,1.51802,1.00201,0.89313,0.7439,0.7473,0.61329,0.94914,1.37764,1.07839,9.60207e-05,9.60207e-05,9.60207e-05
